id,makanan,kalori,protein,lemak,karbohidrat,Kategori,vegan/nonvegan,tag
M-057,kornet sapi,53,289,16,25,Daging,non-vegan,"beef, gurih"
M-058,sosis,37.6,448,14.5,42.3,Daging,non-vegan,"beef, gurih"
M-059,sarden ,338,21.1,27,1,Ikan,non-vegan,"seafood, gurih, asam"
M-060,sate Bandeng,283,12.1,16.8,20.9,Ikan,non-vegan,"bakar, gurih, manis"
M-061,sayur sop,27,1.3,2,1,Sayur,vegan,"rebus,rempah, gurih"
M-062,semur jengkol,212,6,10,29.1,Sayur,vegan,"rebus, rempah, pahit, gurih"
M-063,sop daging sapi,87.5,49,5.8,0.5,Daging,non-vegan,"rebus, beef , rempah, gurih"
M-064,sop kambing,91.6,34,5.5,0.8,Daging,non-vegan,"rebus, beef , rempah, gurih"
M-065,soto betawi,75.9,135,2.5,8.8,Daging,non-vegan,"rebus, beef , rempah, gurih"
M-066,soto kudus,91.6,38,2.6,2.3,Daging,non-vegan,"rebus, beef , rempah, gurih"
M-067,spaghetti,139,7.4,2.1,22.6,Serealia,vegan,"mie, gurih"
M-068,tahu,115,9.7,8.5,2.5,Kacang,vegan,"goreng, gurih"
M-069,talas bogor,69.2,120,1.5,0.3,Umbi,vegan,"rebus, gurih"
M-070,taoge goreng,79.2,88,3.2,2.1,Sayur,vegan,"goreng, gurih"
M-071,tapai singkong,169,1.4,0.3,40.2,Umbi,vegan,manis
M-072,tekwan,53,1.9,0.9,9.4,Ikan,non-vegan,"rebus, seafood, gurih"
M-073,telur,61.9,251,16.3,19.4,Telur,non-vegan,"goreng, gurih"
M-074,telur asin,55.1,301,20,23.7,Telur,non-vegan,"goreng, gurih"
M-075,tempe,336,20,28,7.8,Kacang,vegan,"goreng, gurih"
M-076,teri balado,25.8,365,23.7,22.3,Ikan,non-vegan,"goreng, asin, gurih"
M-077,tumis bayam bersantan,48,1.4,4.2,2.6,Sayur,vegan,"tumis, asin, gurih"
M-078,ayam goreng,260,22,15,11,Daging,non-vegan,"goreng, gurih"
M-079,batagor,290,10,15,29,Daging,non-vegan,"goreng, asin, gurih"
M-080 ,bihun,100,2,1,44,Serealia,vegan,"mie, rebus, gurih"
M-081,tumis kangkung,98,3,9,4,Sayur,vegan,"tumis, asin, gurih"
M-082,udang,144,28,2.5,1.5,Ikan,non-vegan,"seafood, asin, gurih"
M-083,terong balado,97,1.2,8,7,Sayur,vegan,"tumis, asin, pedas"
M-084,steak,252,27,15,2,Daging,non-vegan,"beef, gurih, manis"
M-085,pempek,195,13,5,24,Daging,non-vegan,"goreng, pedas, gurih"
M-086,nugget,297,16,19,16,Daging,non-vegan,"goreng, asin, gurih"
M-087,opor ayam,163,17,9,6,Daging,non-vegan,"rebus, rempah, asin, gurih"
M-088,nasi goreng,168,6.5,6,21,Serealia,vegan,"goreng, asin, gurih"
M-089,martabak telur,186,10,9,19,Telur,non-vegan,"goreng, asin, gurih"
M-090,kerupuk,201,2.5,8.5,18,Serealia,vegan,"jajanan, gurih, asin"
M-091,dadar gulung,131,5,11,29,Serealia,vegan,"jajanan, manis, gurih"
M-092,bika ambon,164,3,4.5,53,Serealia,vegan,"jajanan, manis, gurih"
